月份,门店ID,门店名称,业态分类,楼层,经营场景,租赁面积(sqm),月销售额,销售环比(%),租售比(%),欠费总额(元),欠费天数,水电费波动(%),近90天投诉数,进店率(%),成交转化率(%),保证金覆盖率(%),销售同比(%)
2025-08,SHOP_017,一家好物,精品零售,F2,健康,223,640275,0.0,18.1,25,9,0.4,1,23.6,15.8,95.5,0.0
2025-09,SHOP_017,一家好物,精品零售,F2,健康,223,668575,4.4,17.3,2481,17,0.8,1,23.8,15.9,94.3,0.0
2025-10,SHOP_017,一家好物,精品零售,F2,健康,223,703146,5.2,16.4,1635,22,1.3,1,24.0,16.0,94.7,0.0
2025-11,SHOP_017,一家好物,精品零售,F2,健康,223,749386,6.6,15.4,2202,29,3.9,3,24.3,16.1,94.4,0.0
2025-12,SHOP_017,一家好物,精品零售,F2,健康,223,800868,6.9,14.4,0,17,2.7,3,24.7,16.3,95.5,0.0
2026-01,SHOP_017,一家好物,精品零售,F2,健康,223,628108,-21.6,18.4,0,5,1.6,2,23.5,15.7,95.5,0.0
2026-02,SHOP_017,一家好物,精品零售,F2,健康,223,588128,-6.4,19.7,2480,11,0.5,2,23.3,15.6,94.3,0.0
2026-03,SHOP_017,一家好物,精品零售,F2,健康,223,675591,14.9,17.1,2224,19,-1.5,3,23.8,15.9,94.4,0.0
2026-04,SHOP_017,一家好物,精品零售,F2,健康,223,710156,5.1,16.3,0,4,5.0,3,24.1,16.0,95.5,0.0
2026-05,SHOP_017,一家好物,精品零售,F2,健康,223,725792,2.2,15.9,1711,10,-4.3,2,24.2,16.1,94.6,0.0
2026-06,SHOP_017,一家好物,精品零售,F2,健康,223,688665,-5.1,16.8,1806,20,4.3,4,23.9,15.9,94.6,0.0
2026-07,SHOP_017,一家好物,精品零售,F2,健康,223,655600,-4.8,17.6,0,0,-2.9,3,23.7,15.8,95.5,0.0
2025-08,SHOP_018,未央皮具,精品零售,F3,健康,237,518665,0.0,13.2,0,0,-1.2,1,17.5,22.1,138.7,0.0
2025-09,SHOP_018,未央皮具,精品零售,F3,健康,237,527725,1.7,13.0,0,0,3.4,2,17.6,22.2,138.7,0.0
2025-10,SHOP_018,未央皮具,精品零售,F3,健康,237,577821,9.5,11.8,0,0,-5.2,2,17.9,22.5,138.7,0.0
2025-11,SHOP_018,未央皮具,精品零售,F3,健康,237,598276,3.5,11.4,948,5,-0.5,2,18.0,22.6,138.3,0.0
2025-12,SHOP_018,未央皮具,精品零售,F3,健康,237,625862,4.6,10.9,0,0,-4.5,2,18.2,22.8,138.7,0.0
2026-01,SHOP_018,未央皮具,精品零售,F3,健康,237,489594,-21.8,14.0,0,0,-3.0,1,17.3,21.9,138.7,0.0
2026-02,SHOP_018,未央皮具,精品零售,F3,健康,237,462333,-5.6,14.8,0,0,0.7,2,17.2,21.8,138.7,0.0
2026-03,SHOP_018,未央皮具,精品零售,F3,健康,237,527547,14.1,13.0,0,0,4.4,2,17.6,22.2,138.7,0.0
2026-04,SHOP_018,未央皮具,精品零售,F3,健康,237,554908,5.2,12.3,1215,4,0.1,2,17.7,22.3,138.1,0.0
2026-05,SHOP_018,未央皮具,精品零售,F3,健康,237,579247,4.4,11.8,545,9,-2.0,3,17.9,22.5,138.5,0.0
2026-06,SHOP_018,未央皮具,精品零售,F3,健康,237,556053,-4.0,12.3,2136,13,-0.7,4,17.8,22.3,137.7,0.0
2026-07,SHOP_018,未央皮具,精品零售,F3,健康,237,520670,-6.4,13.1,0,0,0.2,3,17.5,22.1,138.7,0.0
2025-08,SHOP_019,松果文创,精品零售,F3,持续下滑,109,335022,0.0,20.4,565,9,-1.9,2,9.7,9.9,151.6,0.0
2025-09,SHOP_019,松果文创,精品零售,F3,持续下滑,109,333397,-0.5,20.5,1028,16,-2.4,3,9.7,9.9,151.3,0.0
2025-10,SHOP_019,松果文创,精品零售,F3,持续下滑,109,347018,4.1,19.7,2998,24,-0.6,2,9.7,9.9,150.3,0.0
2025-11,SHOP_019,松果文创,精品零售,F3,持续下滑,109,341400,-1.6,20.1,0,16,-9.0,3,9.7,9.9,151.8,0.0
2025-12,SHOP_019,松果文创,精品零售,F3,持续下滑,109,362602,6.2,18.9,1350,25,-7.5,3,9.8,10.0,151.2,0.0
2026-01,SHOP_019,松果文创,精品零售,F3,持续下滑,109,274284,-24.4,25.0,1443,32,-1.5,4,9.4,9.6,151.1,0.0
2026-02,SHOP_019,松果文创,精品零售,F3,持续下滑,109,243594,-11.2,28.1,4246,36,-8.5,3,9.2,9.5,149.7,0.0
2026-03,SHOP_019,松果文创,精品零售,F3,持续下滑,109,273366,12.2,25.1,5238,40,-9.3,5,9.4,9.6,149.2,0.0
2026-04,SHOP_019,松果文创,精品零售,F3,持续下滑,109,276113,1.0,24.8,4461,46,-11.5,4,9.4,9.6,149.6,0.0
2026-05,SHOP_019,松果文创,精品零售,F3,持续下滑,109,270427,-2.1,25.3,4745,56,-12.3,5,9.3,9.6,149.5,0.0
2026-06,SHOP_019,松果文创,精品零售,F3,持续下滑,109,252586,-6.6,27.1,5831,62,-10.8,6,9.3,9.5,148.9,0.0
2026-07,SHOP_019,松果文创,精品零售,F3,持续下滑,109,336461,33.2,20.4,11892,22,-8.7,5,9.7,9.9,145.9,0.0
2025-08,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,210803,0.0,24.3,2059,9,0.8,1,14.4,23.8,117.7,0.0
2025-09,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,219931,4.3,23.3,0,0,-1.2,2,14.5,23.9,118.7,0.0
2025-10,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,230058,4.6,22.3,0,0,-4.5,1,14.7,24.1,118.7,0.0
2025-11,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,232621,1.1,22.0,0,0,3.5,2,14.7,24.1,118.7,0.0
2025-12,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,246580,6.0,20.8,1229,10,-0.3,2,14.9,24.3,118.1,0.0
2026-01,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,190497,-22.7,26.9,10,18,1.7,3,14.2,23.5,118.7,0.0
2026-02,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,186055,-2.3,27.5,861,26,0.6,1,14.1,23.4,118.3,0.0
2026-03,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,206476,11.0,24.8,2202,35,-7.0,3,14.4,23.7,117.6,0.0
2026-04,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,205899,-0.3,24.9,0,26,-0.3,2,14.4,23.7,118.7,0.0
2026-05,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,211536,2.7,24.2,0,13,-1.5,3,14.4,23.8,118.7,0.0
2026-06,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,203216,-3.9,25.2,0,0,-3.6,3,14.3,23.7,118.7,0.0
2026-07,SHOP_020,星期八潮品,精品零售,F1,短期波动,148,214173,5.4,23.9,0,0,-6.3,3,14.5,23.8,118.7,0.0
2025-08,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,198232,0.0,11.1,0,0,-1.3,1,19.1,24.2,103.0,0.0
2025-09,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,209961,5.9,10.5,1149,10,-5.0,0,19.3,24.4,102.4,0.0
2025-10,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,223895,6.6,9.9,0,0,1.9,0,19.5,24.6,103.0,0.0
2025-11,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,224161,0.1,9.8,2298,9,-1.5,0,19.5,24.6,101.8,0.0
2025-12,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,243609,8.7,9.1,194,13,-0.4,1,19.9,25.0,102.9,0.0
2026-01,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,191759,-21.3,11.5,1473,20,-1.2,0,19.0,24.1,102.2,0.0
2026-02,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,184737,-3.7,11.9,0,2,2.5,0,18.8,24.0,103.0,0.0
2026-03,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,208296,12.8,10.6,1051,9,2.9,1,19.3,24.4,102.4,0.0
2026-04,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,215636,3.5,10.2,171,13,4.8,1,19.4,24.5,102.9,0.0
2026-05,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,226378,5.0,9.7,2070,22,0.6,0,19.6,24.7,101.9,0.0
2026-06,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,210999,-6.8,10.5,0,8,2.6,1,19.3,24.4,103.0,0.0
2026-07,SHOP_021,ORIGIN男装,精品零售,F2,健康,229,200761,-4.9,11.0,0,0,6.5,1,19.1,24.2,103.0,0.0
2025-08,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,201547,0.0,23.1,574,6,-4.2,4,4.5,13.2,157.8,0.0
2025-09,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,203733,1.1,22.8,0,0,-7.4,3,4.5,13.2,158.1,0.0
2025-10,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,209189,2.7,22.2,2054,9,-0.3,4,4.6,13.3,157.1,0.0
2025-11,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,210657,0.7,22.1,1510,15,-0.8,4,4.6,13.3,157.4,0.0
2025-12,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,210852,0.1,22.1,744,19,-8.8,4,4.6,13.3,157.7,0.0
2026-01,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,160899,-23.7,28.9,2347,25,-6.3,5,4.4,12.8,156.9,0.0
2026-02,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,155717,-3.2,29.9,4711,34,-7.5,4,4.3,12.8,155.8,0.0
2026-03,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,165536,6.3,28.1,1180,43,-10.7,6,4.4,12.9,157.5,0.0
2026-04,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,168673,1.9,27.6,6526,51,-8.3,6,4.4,12.9,154.8,0.0
2026-05,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,169708,0.6,27.4,2950,55,-9.7,7,4.4,12.9,156.6,0.0
2026-06,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,150048,-11.6,31.0,2601,63,-13.8,7,4.3,12.7,156.8,0.0
2026-07,SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,203729,35.8,22.8,12358,4,-5.4,7,4.5,13.2,151.9,0.0
2025-08,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,485301,0.0,16.5,0,0,-4.3,3,13.9,20.9,150.0,0.0
2025-09,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,506541,4.4,15.8,0,0,2.4,2,14.0,21.0,150.0,0.0
2025-10,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,533729,5.4,15.0,0,0,-7.4,3,14.1,21.1,150.0,0.0
2025-11,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,545345,2.2,14.7,0,0,1.0,4,14.2,21.2,150.0,0.0
2025-12,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,593983,8.9,13.5,298,8,-9.6,4,14.4,21.5,149.9,0.0
2026-01,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,464207,-21.8,17.3,0,0,-0.5,4,13.8,20.7,150.0,0.0
2026-02,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,435104,-6.3,18.4,0,0,-3.1,5,13.6,20.6,150.0,0.0
2026-03,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,476178,9.4,16.9,1524,8,-5.2,4,13.8,20.8,149.3,0.0
2026-04,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,489386,2.8,16.4,2234,14,-7.2,5,13.9,20.9,148.9,0.0
2026-05,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,515189,5.3,15.6,1293,24,-5.6,4,14.0,21.0,149.4,0.0
2026-06,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,470796,-8.6,17.0,778,32,-2.1,5,13.8,20.8,149.7,0.0
2026-07,SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,507422,7.8,15.8,0,0,-5.7,5,14.0,21.0,150.0,0.0
2025-08,SHOP_024,蓝盒数码,精品零售,F1,健康,253,367614,0.0,10.8,1238,8,-0.9,1,20.1,24.4,110.2,0.0
2025-09,SHOP_024,蓝盒数码,精品零售,F1,健康,253,401996,9.4,9.9,0,0,2.5,1,20.4,24.7,110.9,0.0
2025-10,SHOP_024,蓝盒数码,精品零售,F1,健康,253,415373,3.3,9.6,0,0,3.4,2,20.5,24.8,110.9,0.0
2025-11,SHOP_024,蓝盒数码,精品零售,F1,健康,253,438542,5.6,9.1,0,0,1.6,1,20.7,25.0,110.9,0.0
2025-12,SHOP_024,蓝盒数码,精品零售,F1,健康,253,470607,7.3,8.4,0,0,1.4,1,21.1,25.3,110.9,0.0
2026-01,SHOP_024,蓝盒数码,精品零售,F1,健康,253,364359,-22.6,10.9,1397,4,-4.4,1,20.0,24.4,110.2,0.0
2026-02,SHOP_024,蓝盒数码,精品零售,F1,健康,253,352144,-3.4,11.3,0,0,2.5,2,19.9,24.3,110.9,0.0
2026-03,SHOP_024,蓝盒数码,精品零售,F1,健康,253,395280,12.2,10.0,1383,8,2.8,2,20.3,24.6,110.2,0.0
2026-04,SHOP_024,蓝盒数码,精品零售,F1,健康,253,415120,5.0,9.6,95,13,6.2,2,20.5,24.8,110.8,0.0
2026-05,SHOP_024,蓝盒数码,精品零售,F1,健康,253,427057,2.9,9.3,0,0,4.6,2,20.6,24.9,110.9,0.0
2026-06,SHOP_024,蓝盒数码,精品零售,F1,健康,253,412864,-3.3,9.6,731,6,5.3,1,20.5,24.8,110.5,0.0
2026-07,SHOP_024,蓝盒数码,精品零售,F1,健康,253,382768,-7.3,10.4,0,0,4.3,2,20.2,24.5,110.9,0.0
2025-08,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,466116,0.0,15.9,2286,8,-4.7,3,8.5,12.9,121.4,0.0
2025-09,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,478475,2.7,15.5,0,0,-2.5,2,8.5,13.0,122.6,0.0
2025-10,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,492400,2.9,15.1,636,6,0.7,2,8.6,13.0,122.2,0.0
2025-11,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,503385,2.2,14.7,1808,13,-3.1,3,8.6,13.1,121.7,0.0
2025-12,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,551576,9.6,13.5,0,0,-5.6,4,8.8,13.3,122.6,0.0
2026-01,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,418351,-24.2,17.7,307,4,2.9,3,8.3,12.7,122.4,0.0
2026-02,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,394115,-5.8,18.8,0,0,-1.6,5,8.2,12.7,122.6,0.0
2026-03,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,449626,14.1,16.5,0,0,-2.0,3,8.4,12.9,122.6,0.0
2026-04,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,463056,3.0,16.0,0,0,-0.6,5,8.5,12.9,122.6,0.0
2026-05,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,454154,-1.9,16.3,1546,5,-2.4,5,8.4,12.9,121.8,0.0
2026-06,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,434493,-4.3,17.1,129,12,5.6,5,8.4,12.8,122.5,0.0
2026-07,SHOP_025,拾光礼品,精品零售,F1,短期波动,229,466734,7.4,15.9,0,0,-5.5,5,8.5,12.9,122.6,0.0
2025-08,SHOP_026,北街鞋履,精品零售,F1,健康,206,476702,0.0,12.0,1518,6,-4.8,1,20.6,34.3,140.0,0.0
2025-09,SHOP_026,北街鞋履,精品零售,F1,健康,206,480840,0.9,11.9,1547,15,-3.2,2,20.6,34.3,140.0,0.0
2025-10,SHOP_026,北街鞋履,精品零售,F1,健康,206,512595,6.6,11.2,0,0,0.4,1,20.9,34.6,140.8,0.0
2025-11,SHOP_026,北街鞋履,精品零售,F1,健康,206,528599,3.1,10.8,2359,8,-1.1,1,21.0,34.8,139.6,0.0
2025-12,SHOP_026,北街鞋履,精品零售,F1,健康,206,582103,10.1,9.8,0,0,-2.4,2,21.4,35.3,140.8,0.0
2026-01,SHOP_026,北街鞋履,精品零售,F1,健康,206,442803,-23.9,12.9,1652,4,5.2,1,20.3,33.9,140.0,0.0
2026-02,SHOP_026,北街鞋履,精品零售,F1,健康,206,433919,-2.0,13.2,0,0,5.6,2,20.3,33.8,140.8,0.0
2026-03,SHOP_026,北街鞋履,精品零售,F1,健康,206,479361,10.5,11.9,0,0,5.9,2,20.6,34.3,140.8,0.0
2026-04,SHOP_026,北街鞋履,精品零售,F1,健康,206,513292,7.1,11.2,0,0,3.5,2,20.9,34.6,140.8,0.0
2026-05,SHOP_026,北街鞋履,精品零售,F1,健康,206,528132,2.9,10.8,2338,6,-4.0,3,21.0,34.8,139.6,0.0
2026-06,SHOP_026,北街鞋履,精品零售,F1,健康,206,493309,-6.6,11.6,875,11,-0.1,2,20.7,34.4,140.4,0.0
2026-07,SHOP_026,北街鞋履,精品零售,F1,健康,206,475649,-3.6,12.0,0,0,-3.3,3,20.6,34.3,140.8,0.0
2025-08,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,515558,0.0,18.8,2243,9,6.2,2,8.2,22.0,119.8,0.0
2025-09,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,537534,4.3,18.0,0,0,-1.7,3,8.3,22.1,120.9,0.0
2025-10,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,572731,6.5,16.9,96,7,-2.3,3,8.4,22.3,120.9,0.0
2025-11,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,590256,3.1,16.4,779,17,-5.9,4,8.4,22.4,120.5,0.0
2025-12,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,609334,3.2,15.9,2016,25,-6.1,4,8.5,22.5,119.9,0.0
2026-01,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,465977,-23.5,20.8,2029,31,-7.8,3,8.1,21.7,119.9,0.0
2026-02,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,443412,-4.8,21.8,0,19,-5.8,4,8.0,21.6,120.9,0.0
2026-03,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,507631,14.5,19.1,258,24,-4.0,4,8.2,21.9,120.8,0.0
2026-04,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,508306,0.1,19.1,0,16,-2.2,4,8.2,21.9,120.9,0.0
2026-05,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,533548,5.0,18.2,0,0,-1.4,4,8.3,22.1,120.9,0.0
2026-06,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,514856,-3.5,18.8,2131,10,4.1,4,8.2,22.0,119.9,0.0
2026-07,SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,534135,3.7,18.1,0,0,-8.5,5,8.3,22.1,120.9,0.0
2025-08,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,269834,0.0,25.4,2233,4,-3.1,2,10.6,18.9,99.9,0.0
2025-09,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,272201,0.9,25.2,0,0,-5.8,3,10.6,18.9,101.0,0.0
2025-10,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,285808,5.0,24.0,1381,10,0.8,4,10.7,19.1,100.3,0.0
2025-11,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,285438,-0.1,24.0,1161,20,-8.9,4,10.7,19.1,100.4,0.0
2025-12,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,300609,5.3,22.8,0,6,-4.1,4,10.8,19.2,101.0,0.0
2026-01,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,226337,-24.7,30.3,1668,12,-8.2,5,10.3,18.5,100.2,0.0
2026-02,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,211870,-6.4,32.3,0,0,-7.0,4,10.2,18.4,101.0,0.0
2026-03,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,241184,13.8,28.4,1386,5,-8.8,5,10.4,18.6,100.3,0.0
2026-04,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,247956,2.8,27.6,0,0,-9.3,4,10.4,18.7,101.0,0.0
2026-05,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,248908,0.4,27.5,570,7,-11.7,5,10.4,18.7,100.7,0.0
2026-06,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,220392,-11.5,31.1,258,13,-9.5,5,10.2,18.4,100.9,0.0
2026-07,SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,276465,25.4,24.8,0,0,0.7,6,10.6,19.0,101.0,0.0
2025-08,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,550974,0.0,13.6,0,0,3.6,1,14.3,24.5,142.6,0.0
2025-09,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,580589,5.4,12.9,0,0,4.2,1,14.4,24.7,142.6,0.0
2025-10,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,607107,4.6,12.4,0,0,1.5,1,14.6,24.9,142.6,0.0
2025-11,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,641375,5.6,11.7,0,0,-3.9,1,14.7,25.1,142.6,0.0
2025-12,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,668415,4.2,11.2,0,0,-1.4,1,14.8,25.3,142.6,0.0
2026-01,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,529058,-20.8,14.2,0,0,0.0,2,14.2,24.4,142.6,0.0
2026-02,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,508332,-3.9,14.8,0,0,-3.8,2,14.1,24.3,142.6,0.0
2026-03,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,561761,10.5,13.4,0,0,-1.5,2,14.3,24.6,142.6,0.0
2026-04,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,610191,8.6,12.3,0,0,4.2,1,14.6,24.9,142.6,0.0
2026-05,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,627650,2.9,12.0,0,0,-1.3,2,14.6,25.0,142.6,0.0
2026-06,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,597311,-4.8,12.6,0,0,2.6,3,14.5,24.8,142.6,0.0
2026-07,SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,564706,-5.5,13.3,0,0,2.4,2,14.4,24.6,142.6,0.0
2025-08,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,140099,0.0,20.9,0,0,-8.9,3,18.0,9.6,93.0,0.0
2025-09,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,142631,1.8,20.5,548,7,-4.5,3,18.1,9.7,92.8,0.0
2025-10,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,153416,7.6,19.1,1831,16,-7.2,3,18.3,9.8,92.1,0.0
2025-11,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,152952,-0.3,19.1,0,5,-4.7,5,18.3,9.8,93.0,0.0
2025-12,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,159358,4.2,18.3,0,0,-5.1,4,18.4,9.8,93.0,0.0
2026-01,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,122247,-23.3,23.9,0,0,-2.9,5,17.6,9.5,93.0,0.0
2026-02,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,112041,-8.3,26.1,1079,5,0.1,5,17.4,9.4,92.5,0.0
2026-03,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,129234,15.3,22.6,281,9,-6.3,6,17.8,9.5,92.9,0.0
2026-04,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,131200,1.5,22.3,1073,17,0.6,7,17.8,9.6,92.5,0.0
2026-05,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,132527,1.0,22.1,2240,26,-8.6,6,17.8,9.6,91.9,0.0
2026-06,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,118716,-10.4,24.6,779,36,-0.8,7,17.5,9.4,92.6,0.0
2026-07,SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,143108,20.5,20.4,0,0,-1.5,7,18.1,9.7,93.0,0.0
2025-08,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,402959,0.0,30.1,0,0,-1.2,1,5.0,10.6,143.3,0.0
2025-09,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,408933,1.5,29.7,0,0,1.4,2,5.0,10.7,143.3,0.0
2025-10,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,431517,5.5,28.1,4622,9,-4.6,4,5.1,10.7,141.0,0.0
2025-11,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,439768,1.9,27.6,1227,15,-7.5,2,5.1,10.8,142.7,0.0
2025-12,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,451840,2.7,26.8,3496,19,-7.2,4,5.1,10.8,141.5,0.0
2026-01,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,337442,-25.3,35.9,2865,24,-2.4,3,4.9,10.4,141.9,0.0
2026-02,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,308721,-8.5,39.3,5527,31,-3.6,4,4.8,10.3,140.5,0.0
2026-03,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,337504,9.3,35.9,6147,35,-13.4,3,4.9,10.4,140.2,0.0
2026-04,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,348276,3.2,34.8,10073,42,-8.9,5,4.9,10.4,138.3,0.0
2026-05,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,342576,-1.6,35.4,8472,50,-11.6,4,4.9,10.4,139.1,0.0
2026-06,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,306147,-10.6,39.6,11940,56,-14.0,5,4.8,10.3,137.3,0.0
2026-07,SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,418291,36.6,29.0,26000,32,-22.0,5,5.1,10.7,130.3,0.0
2025-08,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,326843,0.0,29.0,966,4,0.1,1,14.9,9.2,87.7,0.0
2025-09,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,328530,0.5,28.9,2377,8,-3.6,1,15.0,9.2,87.0,0.0
2025-10,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,334921,1.9,28.3,1717,15,0.6,1,15.0,9.3,87.3,0.0
2025-11,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,351374,4.9,27.0,2413,24,-0.2,1,15.1,9.3,87.0,0.0
2025-12,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,358979,2.2,26.4,1470,31,-10.5,2,15.2,9.4,87.5,0.0
2026-01,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,283890,-20.9,33.4,0,20,-1.9,1,14.6,9.1,88.2,0.0
2026-02,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,257126,-9.4,36.9,1160,24,-4.1,1,14.4,8.9,87.6,0.0
2026-03,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,288462,12.2,32.9,760,33,1.6,1,14.6,9.1,87.8,0.0
2026-04,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,296513,2.8,32.0,1664,39,-3.4,2,14.7,9.1,87.4,0.0
2026-05,SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,297093,0.2,31.9,566,45,-2.6,2,14.7,9.1,87.9,0.0
